python main.py agent_result/5k_retrain_1/5k_retrain.pth v2_5k_retrain.pth
Episode  4050 | Slices: 180 | Avg Reward:  119702.84 | Avg Energy:  29512.33 | Invalid:   9 | QoS Violations:  9 | Success Rate:  0.98 | Epsilon: 0.050
Episode  4100 | Slices: 181 | Avg Reward:  118929.39 | Avg Energy:  30224.05 | Invalid:   9 | QoS Violations:  9 | Success Rate:  0.97 | Epsilon: 0.050
Episode  4150 | Slices: 181 | Avg Reward:  119304.64 | Avg Energy:  29700.66 | Invalid:   1 | QoS Violations:  1 | Success Rate:  0.97 | Epsilon: 0.050
Episode  4200 | Slices: 182 | Avg Reward:  119674.15 | Avg Energy:  29789.70 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.97 | Epsilon: 0.050
Episode  4250 | Slices: 182 | Avg Reward:  119585.08 | Avg Energy:  29327.55 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.96 | Epsilon: 0.050
Episode  4300 | Slices: 183 | Avg Reward:  119528.42 | Avg Energy:  29774.19 | Invalid:  13 | QoS Violations: 13 | Success Rate:  0.96 | Epsilon: 0.050
Episode  4350 | Slices: 183 | Avg Reward:  120180.51 | Avg Energy:  29485.29 | Invalid:   0 | QoS Violations:  0 | Success Rate:  0.96 | Epsilon: 0.050
Episode  4400 | Slices: 184 | Avg Reward:  119767.23 | Avg Energy:  29673.60 | Invalid:   9 | QoS Violations:  9 | Success Rate:  0.96 | Epsilon: 0.050
Episode  4450 | Slices: 184 | Avg Reward:  119602.23 | Avg Energy:  30311.58 | Invalid:  19 | QoS Violations: 19 | Success Rate:  0.95 | Epsilon: 0.050
Episode  4500 | Slices: 185 | Avg Reward:  120807.60 | Avg Energy:  29938.09 | Invalid:  10 | QoS Violations: 10 | Success Rate:  0.96 | Epsilon: 0.050
Episode  4550 | Slices: 185 | Avg Reward:  121359.51 | Avg Energy:  29764.32 | Invalid:   7 | QoS Violations:  7 | Success Rate:  0.96 | Epsilon: 0.050
Episode  4600 | Slices: 186 | Avg Reward:  120299.35 | Avg Energy:  29891.87 | Invalid:  14 | QoS Violations: 14 | Success Rate:  0.95 | Epsilon: 0.050
Episode  4650 | Slices: 186 | Avg Reward:  121668.06 | Avg Energy:  29185.85 | Invalid:  16 | QoS Violations: 16 | Success Rate:  0.95 | Epsilon: 0.050
Episode  4700 | Slices: 187 | Avg Reward:  120455.25 | Avg Energy:  29331.68 | Invalid:  13 | QoS Violations: 13 | Success Rate:  0.94 | Epsilon: 0.050
Episode  4750 | Slices: 187 | Avg Reward:  120703.35 | Avg Energy:  29873.41 | Invalid:  20 | QoS Violations: 20 | Success Rate:  0.94 | Epsilon: 0.050
Episode  4800 | Slices: 188 | Avg Reward:  121170.85 | Avg Energy:  29860.42 | Invalid:  17 | QoS Violations: 17 | Success Rate:  0.94 | Epsilon: 0.050
Episode  4850 | Slices: 188 | Avg Reward:  121428.53 | Avg Energy:  30383.06 | Invalid:  15 | QoS Violations: 15 | Success Rate:  0.94 | Epsilon: 0.050
Episode  4900 | Slices: 189 | Avg Reward:  121284.73 | Avg Energy:  29919.99 | Invalid:   5 | QoS Violations:  5 | Success Rate:  0.94 | Epsilon: 0.050
Episode  4950 | Slices: 189 | Avg Reward:  122289.90 | Avg Energy:  30198.03 | Invalid:  16 | QoS Violations: 16 | Success Rate:  0.94 | Epsilon: 0.050
Training completed. Model saved to v2_5k_retrain.pth
