Episode 103 | Avg Reward: -2017.92 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.494
Episode 104 | Avg Reward: -909.33 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.490
Episode 105 | Avg Reward: -2069.13 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.486
Episode 106 | Avg Reward: -960.99 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.482
Episode 107 | Avg Reward: -2029.41 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.478
Episode 108 | Avg Reward: -941.40 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.475
Episode 109 | Avg Reward: -941.91 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.471
Episode 110 | Avg Reward: -2072.97 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.467
Episode 111 | Avg Reward: -2041.57 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.463
Episode 112 | Avg Reward: -2042.05 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.460
Episode 113 | Avg Reward: -2053.54 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.456
Episode 114 | Avg Reward: -2021.14 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.452
Episode 115 | Avg Reward: -2010.32 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.449
Episode 116 | Avg Reward: -2010.51 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.445
Episode 117 | Avg Reward: -2022.00 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.442
Episode 118 | Avg Reward: -2010.89 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.438
Episode 119 | Avg Reward: -2045.41 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.435
Episode 120 | Avg Reward: -2046.04 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.431
Episode 121 | Avg Reward: -2011.47 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.428
Episode 122 | Avg Reward: -929.09 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.424
Episode 123 | Avg Reward: -2047.33 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.421
Episode 124 | Avg Reward: -2035.94 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.418
Episode 125 | Avg Reward: -2048.44 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.414
Episode 126 | Avg Reward: -2024.59 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.411
Episode 127 | Avg Reward: -2012.62 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.408
Episode 128 | Avg Reward: -2025.12 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.404
Episode 129 | Avg Reward: -2013.01 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.401
Episode 130 | Avg Reward: -2013.20 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.398
Episode 131 | Avg Reward: -2013.39 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.395
Episode 132 | Avg Reward: -2013.58 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.392
Episode 133 | Avg Reward: -2064.96 | Avg Energy: 7166.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.388
Episode 134 | Avg Reward: -2013.97 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.385
Episode 135 | Avg Reward: -2027.14 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.382
Episode 136 | Avg Reward: -2053.72 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.379
Episode 137 | Avg Reward: -956.25 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.376
Episode 138 | Avg Reward: -2028.00 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.373
Episode 139 | Avg Reward: -2014.93 | Avg Energy: 7199.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.370
Episode 140 | Avg Reward: -2042.08 | Avg Energy: 7265.00 | Invalid: 0 | QoS Violations: 2 | Success Rate: 1.00 | Epsilon: 0.367
Episode 141 | Avg Reward: -958.43 | Avg Energy: 7232.00 | Invalid: 0 | QoS Violations: 1 | Success Rate: 1.00 | Epsilon: 0.364
