python main.py agent_result/BEST_AGENT_5K/dqn_agent.pth v_1_retrain_log_10k.pth
Episode  4000 | Slices: 200 | Avg Reward:  135684.98 | Avg Energy:  32573.21 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4050 | Slices: 200 | Avg Reward:  135641.44 | Avg Energy:  32828.73 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4100 | Slices: 200 | Avg Reward:  135686.04 | Avg Energy:  32635.71 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4150 | Slices: 200 | Avg Reward:  135642.49 | Avg Energy:  32596.37 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4200 | Slices: 200 | Avg Reward:  135765.63 | Avg Energy:  32244.87 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4250 | Slices: 200 | Avg Reward:  135702.48 | Avg Energy:  32406.98 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4300 | Slices: 200 | Avg Reward:  135636.26 | Avg Energy:  32714.36 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4350 | Slices: 200 | Avg Reward:  135619.45 | Avg Energy:  32852.85 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4400 | Slices: 200 | Avg Reward:  135675.33 | Avg Energy:  32662.83 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4450 | Slices: 200 | Avg Reward:  135665.42 | Avg Energy:  32666.70 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
Episode  4500 | Slices: 200 | Avg Reward:  135688.68 | Avg Energy:  32699.95 | Invalid:   0 | QoS Violations:  0 | Success Rate:  1.00 | Epsilon: 0.050
